Bulldoze,,,6,EOT,2,Burst 1,All Legal Targets are lowered 1 Speed Combat Stage.,Cool - Steady Performance,Physical,Ground,,,o,,,,,,,
Dig,,,8,EOT,2,"Burst 1, Set-Up, Full Action, Groundsource","Set-Up Effect: The user shifts 25 meters underground and their turn ends. Resolution Effect: The user may shift horizontally using their burrow or overland speed, and then shifts 25 meters straight up. Upon reaching the surface, the user attacks with Dig, creating a Burst 1. *Grants: Burrow +3",Smart -  Special Attention,Physical,Ground,,,,,,,,,,
Drill Run,,,8,At-Will,3,"Melee, 1 Target",Drill Run is a Critical Hit on 18+.,Cool - Steady Performance,Physical,Ground,,o,,,,,,,,
Earth Power,,,9,EOT,2,"6, 1 Target, Groundsource",Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16+.,Smart - Desperation,Special,Ground,o,,,,,,,,,
Earthquake,,,10,Scene,2,"Burst 3, Groundsource","Earthquake can hit targets that are underground, including those using the Move Dig. *Grants Groundshaper",Tough - Desperation,Physical,Ground,,,,,,,,,,
Fissure,,,--,Daily,--,"5, 1 Target, Execute, Groundsource","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level. *Grants: Groundshaper",Tough - Big Show,Status,Ground,,,,,,,,,,
Headlong Rush,,,10,Scene,2,"Melee, 1 Target, Smite, Reckless","The user’s Defense and Special Defense are each lowered by -1 Combat Stage.

Headlong Rush may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, Headlong Rush Trips the target on a hit.",Tough - Big Show,Physical,Ground,,o,,,,,,,,o
High Horsepower,,,10,Scene x2,3,"Melee, 1 Target","High Horsepower may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, High Horsepower gains Smite.",--,Physical,Ground,,o,,,,,,,,
Land's Wrath,,,9,Scene x2,2,"Burst 5, Friendly, Groundsource",*Grants: Groundshaper,Tough - Big Show,Physical,Ground,,,,,,,,,,
Magnitude,,,"X, See Effect",EOT,2,"Burst 2, Groundsource","When you use Magnitude, roll 1d6. Magnitude’s Damage Base is equal to 5+X, where X is the value of the d6. Magnitude can hit targets that are underground, including those using the Move Dig. *Grants: Groundshaper",Tough - Desperation,Physical,Ground,,,,,,,,,,
Mud Bomb,,,7,At-Will,4,"6, 1 Target",The target's Accuracy is lowered by -1 on 16+.,Smart - Desperation,Special,Ground,o,,,,,,,,,
Mud Shot,,,6,At-Will,3,"3, 1 Target",The target's Speed is lowed by -1 Combat Stage.,Tough - Desperation,Special,Ground,,,o,,,,,,,
Mud Sport,,,--,EOT,--,Burst 2,"All targets in the burst, including the user, gain a Coat which grants them 1 Step of Resistance to Electric Type Moves. After a target has been hit by a damaging Electric Type Move, the coat is removed.",Cute - Sabotage,Status,Ground,,,,,,,,,,
Mud-Slap,,,2,At-Will,2,"3, 1 Target",The target's Accuracy is lowered by -1.,Cute - Steady Performance,Special,Ground,,,o,,,,,,,
Precipice Blades,,,12,Scene x2,5,"Burst 1, Smite",--,Cool - Desperation,Physical,Ground,,,,,,,,,,
Rototiller,,,--,Scene,--,Burst 2,All Grass-type Pokémon in the area raise their Attack and Special Attack 1 Combat Stage.,Tough - Special Attention,Status,Ground,,,,,,,,,,
Sand Tomb,,,4,Scene x2,4,"5, 1 Target",The target is put in a Vortex.,Smart - Safe Option,Physical,Ground,,,o,,,,,,,
Sand Attack,,,--,EOT,2,"2, 1 Target",The target is Blinded until the end of their next turn.,Cute -  Excitement,Status,Ground,,,,,,,,,,
Sandstorm Sear,,,10,Scene,5,"6, Ranged Blast 3, Smite",The target is Burned on a 15+,Tough - Unsettling,Special,Ground,o,,,,,,,,,
Scorching Sands,,,7,Scene x2,2,"5, 1 Target",Scorching Sands Burns the target on 15+. ,Smart - Steady Performance,Special,Ground,o,,,,,,,,,
Shore Up,,,--,Daily x2,--,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sand Storming, the user gains 2/3 of its full Hit Point value. If it is Sunny, Rainy, or Hailing, the user gains 1/4 of its full Hit Point value.",Tough - Big Show,Status,Ground,,,,,,,,,,
Spikes,,,--,At-Will,--,"6, Hazard","Set 8 square meters of Spikes within the range such that all 8 meters are adjacent with at least one other space of Spikes. Spikes cause terrain to count as Slow Terrain, and a grounded foe that runs into the hazards will lose 1/10th of their full HP and become Slowed until the end of their next turn.",Smart - Sabotage,Status,Ground,,,,,,,,,,
Stomping Tantrum,,,8,EOT,2,"Melee, 1 Target","If the user’s last attack failed or missed, Stomping Tantrum is DB15 instead.",--,Physical,Ground,,o,,,,,,,,
Thousand Arrows,,,9,Scene,2,"6, 1 Target","When calculating Weakness and Resistance for Thousand Arrows, Flying-Typed targets calculate damage as if Ground was neutral to Ice. Thousand Arrows ignores the Levitate Ability, The target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune.",--,Physical,Ground,,,,,,,,,,
Thousand Waves,,,9,Scene,2,"Burst 1, Groundsource",Legal Targets are Trapped for 2 Turns.,--,Physical,Ground,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Aurora Beam,,,7,At-Will,2,"6, 1 Target",Aurora Beam lowers the target's Attack 1 Combat Stage on 18+. *Grants: Freezer,Beauty - Exhausting Act,Special,Ice,o,,,,,,,,,
Aurora Veil,,,--,Scene,--,Blessing,"Blessing – Any user affected by Aurora Veil may activate it when receiving Damage to resist the Damage one step. Aurora Veil may be activated 2 times, and then disappears. Special: Auora Veil can only be used when the user is in Hailing Weather. The Blessings persist even after Hailing Weather has ended, however.",--,Status,Ice,,,,,,,,,,
Avalanche,,,6,EOT,2,"Melee, 1 Target","When declaring Avalanche, the user does nothing and may not Shift. At the end of the round, the user may Shift and use Avalanche. If the target damaged the user this round, Avalanche has a Damage Base of 12 (4d10+15 / 40).",Cool - Double TIme,Physical,Ice,,o,o,,,,,,,
Blizzard,,,11,Scene x2,7,"4, Ranged Blast 2, Smite","Blizzard Freezes all legal target on 15+. If the target is in Hailing Weather, Blizzard cannot miss.",Beauty - Exhausting Act,Special,Ice,o,,,,,,,,,
Freeze-Dry,,,7,EOT,2,"6, 1 Target","When calculating Weakness and Resistance for Freeze-Dry, Water-Typed targets calculate damage as if Water was weak to Ice.",Tough - Saving Grace,Special,Ice,,,,,,,,,,
Freeze Shock,,,14,Scene,4,"10, 1 Target, Set-Up, Full Action","Set-Up Effect: The user may shift, then ends their turn. Resolution Effect: The user attacks with Freeze Shock. Freeze Shock paralyzes on 15+.",Beauty - Seen Nothing Yet,Physical,Ice,o,,,,,,,,,
Frost Breath,,,6,EOT,3,"4, 1 Target","If Frost Breath hits, it is a Critical Hit. *Grants: Freezer",Beauty - Steady Performance,Special,Ice,,,o,,,,,,,
Glacial Lance,,,13,Daily,2,"Line 8, Smite",Legal targets hit by Glacial Lance are Stuck and Trapped until the end of their next turn.,Smart - Special Attention,Physical,Ice,,o,,,,,,,,
Glaciate,,,7,EOT,3,Burst 2,"All Legal Targets have their Speed lowered 1 Combat Stage. On an Even-Numbered Roll, all Legal Targets on the ground are Slowed.",Beauty - Steady Performance,Special,Ice,o,,,,,,,,,
Hail,,,--,Daily x2,--,"Field, Weather","The weather changes to Hail for 5 rounds. While it is Hailing, all non-Ice Type Pokemon lose a Tick of Hit Points at the beginning of their turn.",Beauty - Sabotage,Status,Ice,,,,,,,,,,
Haze,,,--,Scene x2,--,Field,The Combat Stages of the user and all Pokémon and Trainers in the encounter are set to their default state (usually 0).,Beauty - Sabotage,Status,Ice,,,,,,,,,,
Ice Ball,,,3,At-Will,4,"Melee, 1 Target",The user continues to use Ice Ball on each of its turns until they miss any target with Ice Ball or are not able to hit any target with Ice Ball during their turn. Each successive use of Ice Ball increases Ice Ball's Damage Base by +3 to a maximum of DB 15.,Beauty - Reliable,Physical,Ice,,o,o,,,,,,,
Ice Beam,,,9,EOT,2,"4, 1 Target",Ice Beam Freezes on 19+.,Beauty - Exhausting Act,Special,Ice,o,,,,,,,,,
Ice Burn,,,14,Scene,4,"10, 1 Target, Set-Up, Full Action","Set-Up Effect: The user may shift, then ends their turn. Resolution Effect: The user attacks with Ice Burn. Ice Burn Burns on 15+.",Beauty - Seen Nothing Yet,Special,Ice,o,,,,,,,,,
Ice Fang,,,7,At-Will,3,"Melee, 1 Target","Ice Fang Freezes or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe becomes Frozen or Flinched. On 20 during Accuracy Check, the foe is both Frozen and Flinched.",Cool - Steady Performance,Physical,Ice,o,o,,,,,,,o,
Ice Hammer,,,10,EOT,4,"Melee, 1 Target",Lower the user's Speed by -1 CS.,--,Physical,Ice,,o,,,,,,,,
Ice Punch,,,8,At-Will,2,"Melee, 1 Target",Ice Punch Freezes the target on 19+.,Beauty - Exhausting Act,Physical,Ice,o,o,,,o,,,,,
Ice Shard,,,4,At-Will,2,"4, 1 Target, Priority",--,Beauty - Saving Grace,Physical,Ice,,,o,,,,,,,
Icicle Crash,,,8,EOT,4,"6, 1 Target",Icicle Crash Flinches the target on 15+.,Tough - Steady Performance,Physical,Ice,o,,,,,,,,,
Icicle Spear,,,3,EOT,4,"6, 1 Target, Five Strike",--,Beauty - Reliable,Physical,Ice,,,o,,,,,,,
Icy Wind,,,6,EOT,3,Cone 2,All Legal Targets have their Speed lowered 1 Combat Stage.,Beauty - Desperation,Special,Ice,,,o,,,,,,,
Mist,,,--,Scene x2,--,Blessing,"Any user affected by Mist may activate it when having Combat Stages lowered by any effect; if they do, those Combat Stages are instead not lowered. Mist may be activated 3 times and then disappears.",Beauty - Sabotage,Status,Ice,,,,,,,,,,
Mountain Gale,,,10,EOT,5,"5, 1 Target",The target is Flinched on a 15+.,Cool - Sabotage,Physical,Ice,o,,,,,,,,,
Powder Snow,,,4,At-Will,2,Line 4,Powder Snow Freezes all Legal Targets on 19+. *Grants: Freezer,Beauty - Steady Performance,Special,Ice,o,,o,,,,,,,
Sheer Cold,,,--,Daily,--,"4, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level. *Grants: Freezer",Beauty - Big Show,Status,Ice,,,,,,,,,,
Triple Axel,,,6,EOT,4,"Melee, 1 Target","After attacking with Triple Axel, hit or miss, the user may Disengage 2m and attack a different target with Triple Axel. This effect may be repeated a second time, targeting a creature that has not been targeted by either prior attack. Before making each attack roll, the user can elect to give up triggering all remaining additional shifts and attacks. Triple Axel gains +1 Accuracy and +1 DB for each attack that is given up. Triple Axel always benefits from the Technician Ability. ",Cool - Special Attention,Physical,Ice,,o,o,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Acupressure,,,--,EOT,2,"Melee, 1 Target or Self","Roll 1d6. On a result of 1, raise the target’s Attack by +2 CS. On a result of 2, raise the target’s Defense by +2 CS. On a result of 3, raise the target’s Special Attack by +2 CS. On a result of 4, raise the target’s Special Defense by +2 CS. On a result of 5, raise the target’s Speed by +2 CS. On a result of 6, raise the target’s Accuracy by +2.",Cool - Get Ready!,Status,Normal,,o,,,,,,,,
After You,,,--,Scene x2,--,"6, 1 Target","After You is a Swift Action. The target takes their turn for the round immediately after the user finishes their turn, ignoring Initiative. After You may only affect a target that has not yet acted that round and can only affect willing targets.",Smart - Desperation,Status,Normal,,,,,,,,,,
Assist,,,--,Scene x2,--,Self,Randomly select another Pokémon on the user’s roster and then randomly select a Move that Pokémon knows. Assist’s user uses that Move immediately.,Cute - Tease,Status,Normal,,,,,,,,,,
Attract,,,--,Scene x2,2,"3, 1 Target, Social",Attract Infatuates the target if its gender is the opposite of the user’s. Attract fails when used by or against Genderless targets.,Cute - Excitement,Status,Normal,,,,,,,,,,
Barrage,,,2,At-Will,4,"6, 1 Target, Five Strike",--,Tough - Reliable,Physical,Normal,,,o,,,,,,,
Baton Pass,,,--,At-Will,--,Self,"The user is replaced with another Pokémon from their trainer’s roster. All Combat Stage, Coats, and [Stratagems] on Baton Pass’ user are transferred to the replacement. Baton Pass may be used to switch even if the user is Trapped.",Cute - Inversed Appeal,Status,Normal,,,,,,,,,,
Belly Drum,,,--,Scene,--,Self,The user gains +6 Attack CS and loses HP equal to 1/2 of their Max HP.,Cute - Get Ready!,Status,Normal,,,,,,,,,,
Bestow,,,--,At-Will,--,"Melee, 1 Target","The user gives its held item to the target, unless the target is already holding an item. Using Bestow is a Swift Action.",Cute - Attention Grabber,Status,Normal,,o,,,,,,,,
Bide,,,See Effect,Scene,--,"Burst 1, Friendly","The user may use Bide as a Reaction Move upon being Hit by a Damaging Move. During their next available turn, the user may Shift and then use Bide, causing all Adjacent foes to lose X HP, where X is the amount of Damage taken since declaring use of Bide (Loss of life through effects such as Poison is not ‘Damage’).",Tough - Double TIme,Physical,Normal,,,,,,,,,,
Bind,,,--,Static,--,--,"The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points.",Tough - Safe Option,Static,Normal,,,,,,,,,,
Block,,,--,At-Will,2,"Melee, 1 Target",The target is Stuck and Trapped until the beginning of your next turn.,Cute - Sabotage,Status,Normal,,o,,,,,,,,
Body Slam,,,9,Scene x2,2,"Melee, 1 Target",Body Slam Paralyzes the target on 15+.,Tough - Steady Performance,Physical,Normal,o,o,,,,,,,,
Boomburst,,,14,Scene,2,"Burst 1, Sonic",--,Cool - Seen Nothing Yet,Special,Normal,,,,,,,,o,,
Camouflage,,,--,EOT,--,Self,"The user changes their Type to match the field. Pick one type from the following table. If two or more rows are relevant (such as because of Weather), pick one:
-Beach: Ground or Water
-Cave: Rock or Dark
-Desert: Ground or Rock
-Forest: Grass
-Fresh Water / Ocean: Water
-Grassland: Normal or Grass
-Marsh: Water or Poison
-Mountain: Rock or Ground
-Rainforest: Grass or Poison
-Taiga: Ice or Grass
-Tundra: Ice
-Urban: Normal or Steel
-Sunny: Fire
-Rainy: Water
-Hailing: Ice
-Sandstorming: Rock
Your GM may provide additional options should they choose (for instance, an Ethereal Forest may provide Psychic and Fairy options.) *Grants Blender",Smart - Sabotage,Status,Normal,,,,,,,,,,
Captivate,,,--,EOT,2,"Cone 2, Friendly, Social",Captivate lowers the target's Special Attack by -2 CS. Captivate may not affect something that is the same gender as the user or something that is genderless.,Beauty - Excitement,Status,Normal,,,,,,,,,,
Chip Away,,,7,EOT,2,"Melee, 1 Target","Ignore any Armor, Damage Reduction, or changes in the target's Defense or Special Defense (such as from Combat Stages) when calculating damage.",Tough - Reliable,Physical,Normal,,o,,,,,,,,
Comet Punch,,,2,At-Will,4,"Melee, 1 Target, Five Strike",--,Tough - Reliable,Physical,Normal,,o,o,,o,,,,,
Confide,,,--,At-Will,2,"4, 1 Target, Social",Lower the target's Special Attack by -1 CS.,Cute - Excitement,Status,Normal,,,,,,,,,,
Constrict,,,1,At-Will,2,"Melee, 1 Target",Lower the target’s Speed by -1 CS. Constrict may be used as a Swift Action against targets the user is Grappling and automatically hits when performed this way.,Tough - Safe Option,Physical,Normal,,o,o,,,,,,,
Conversion,,,--,At-Will,--,Self,The user becomes the elemental Type of their choice as long as they have a Move that is the same elemental Type until the end of the encounter. Replace all other Types.,Beauty -  Catching Up,Status,Normal,,,,,,,,,,
Conversion2,,,--,At-Will,--,Self,The user becomes the elemental Type of their choice as long as the Type resists the elemental Type of the Move it last took damage from until the end of the encounter. Replace all other Types.,Beauty -  Catching Up,Status,Normal,,,,,,,,,,
Copycat,,,--,Scene x2,--,"4, 1 Target",Use the Move the target has used on their last turn. You may choose new targets for the Move. Copycat cannot miss.,Cool - Attention Grabber,Status,Normal,,,,,,,,,,
Covet,,,6,At-Will,2,"Melee, 1 Target","Covet takes the target’s Held Item or Accessory Slot Item and attaches it to Covet’s user, if the user is not holding anything.",Cute - Attention Grabber,Physical,Normal,,o,o,,,,,,,
Court Change,,,--,Daily,--,Field,All Blessings and Hazards swap which side that they belong to.,Smart - Sabotage,Status,Normal,,,,,,,,,,
Crush Claw,,,7,EOT,3,"Melee, 1 Target, Dash",Crush Claw lowers the target’s Defense by -1 CS on Even-Numbered Rolls.,Cool - Steady Performance,Physical,Normal,o,o,,,,,,,,
Crush Grip,,,12,Scene,2,"Melee, 1 Target","For every 10% the target is below their full Hit Points, Crush Grip's Damage Base is reduced by 1.",Tough - Double TIme,Physical,Normal,,o,,,,,,,,
